SIGLA ICAO AERÓDROMO;SIGLA IATA AERÓDROMO;NOME AERÓDROMO;MUNICÍPIO AERÓDROMO;ESTADO AERÓDROMO;PAÍS AERÓDROMO;AERONAVE CRÍTICA;LATITUDE;LONGITUDE
KBFD;BFD;BRADFORD REGIONAL AIRPORT;BRADFORD, PENNSYLVANIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;41,803056;-78,64
KBFF;BFF;WESTERN NEBRASKA REGIONAL AIRPORT (WILLIAM B. HEILIG FIELD);SCOTTSBLUFF, NEBRASKA;;ESTADOS UNIDOS DA AMÉRICA;N/I;41,873889;-103,595556
KBFI;BFI;BOEING FIELD/KING COUNTY INTERNATIONAL AIRPORT;SEATTLE, WASHINGTON;;ESTADOS UNIDOS DA AMÉRICA;N/I;47,53;-122,301944
KBFK;...;BUFFALO MUNICIPAL AIRPORT;BUFFALO, OKLAHOMA;;ESTADOS UNIDOS DA AMÉRICA;N/I;36,863333;-99,618611
KBFL;BFL;MEADOWS FIELD AIRPORT;BAKERSFIELD, CALIFORNIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;35,433889;-119,057778
KBFM;BFM;MOBILE DOWNTOWN AIRPORT;MOBILE, ALABAMA;;ESTADOS UNIDOS DA AMÉRICA;N/I;30,626667;-88,068056
KBFR;BFR;VIRGIL I. GRISSOM MUNICIPAL AIRPORT;BEDFORD, INDIANA;;ESTADOS UNIDOS DA AMÉRICA;N/I;38,84;-86,445278
KBFW;...;SILVER BAY MUNICIPAL AIRPORT;SILVER BAY, MINNESOTA;;ESTADOS UNIDOS DA AMÉRICA;N/I;47,248611;-91,415556
KBGD;BGD;HUTCHINSON COUNTY AIRPORT;BORGER, TEXAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;35,700833;-101,393611
KBGE;BGE;DECATUR COUNTY INDUSTRIAL AIR PARK;BAINBRIDGE, GEORGIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;30,971667;-846,375
KBGF;...;WINCHESTER MUNICIPAL AIRPORT;WINCHESTER, TENNESSEE;;ESTADOS UNIDOS DA AMÉRICA;N/I;351,775;-86,066111
KBGM;BGM;GREATER BINGHAMTON AIRPORT;BINGHAMTON, NEW YORK;;ESTADOS UNIDOS DA AMÉRICA;N/I;42,208611;-75,979722
KBGR;BGR;BANGOR INTERNATIONAL AIRPORT;BANGOR, MAINE;;ESTADOS UNIDOS DA AMÉRICA;N/I;44,807222;-68,828056
KBHB;BHB;HANCOCK COUNTY-BAR HARBOR AIRPORT;BAR HARBOR, MAINE;;ESTADOS UNIDOS DA AMÉRICA;N/I;44,449722;-68,361667
KBHK;...;BAKER MUNICIPAL AIRPORT;BAKER, MONTANA;;ESTADOS UNIDOS DA AMÉRICA;N/I;46,347778;-104,259444
KBHM;BHM;BIRMINGHAM-SHUTTLESWORTH INTERNATIONAL AIRPORT;BIRMINGHAM, ALABAMA;;ESTADOS UNIDOS DA AMÉRICA;N/I;33,563889;-86,752222
KBID;BID;BLOCK ISLAND STATE AIRPORT;BLOCK ISLAND, RHODE ISLAND;;ESTADOS UNIDOS DA AMÉRICA;N/I;41,168056;-71,577778
KBIF;BIF;BIGGS ARMY AIRFIELD;FORT BLISS, EL PASO, TEXAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;31,849444;-106,38
